IndexofDifficulty,MovementTime,Throughput
,,
2.1154772174,1189.6,1.7783096986
2.9385994553,1222.5333333333,2.4036967952
3.4594316186,1240.8666666667,2.7879156654
1.8073549221,1230.9333333333,1.4682801035
2.5849625007,1105.7333333333,2.3377811112
3.0874628413,1208.7333333333,2.5542961016
