IndexofDifficulty,MovementTime,Throughput
,,
2.115477217,985.9333333,2.145659494
2.938599455,1054.466667,2.786811142
3.459431619,1228.066667,2.816973795
1.807354922,911,1.983924173
2.584962501,1024.533333,2.523063347
3.087462841,951.4,3.245178517
